make,model,bodyStyle
Acura,ADX,SUV
Acura,ILX,Sedan
Acura,Integra,Hatchback
Acura,MDX,SUV
Acura,NSX,Coupe
Acura,RDX,SUV
Acura,TLX,Sedan
Acura,ZDX,SUV
Acura,RLX,Sedan
Acura,RSX,Hatchback
Acura,TL,Sedan
Acura,TSX,Sedan
Alfa Romeo,Giulia,Sedan
Alfa Romeo,Stelvio,SUV
Alfa Romeo,Tonale,SUV
Aston Martin,DB11,Coupe
Aston Martin,DB12,Coupe
Aston Martin,DBS,Coupe
Aston Martin,DBX,SUV
Aston Martin,Vanquish,Coupe
Aston Martin,Vantage,Coupe
Aston Martin,Valour,Coupe
Audi,A3,Sedan
Audi,A3 Sedan,Sedan
Audi,A4,Sedan
Audi,A4 allroad,Wagon
Audi,A5,Coupe
Audi,A5 Cabriolet,Convertible
Audi,A5 Coupe,Coupe
Audi,A5 Sportback,Hatchback
Audi,A6,Sedan
Audi,A6 Allroad,Wagon
Audi,A6 Sportback e-tron,Hatchback
Audi,A7,Hatchback
Audi,A8,Sedan
Audi,All-New A5,Coupe
Audi,All-New Q5,SUV
Audi,All-New SQ5,SUV
Audi,New A5,Coupe
Audi,New Q5,SUV
Audi,New Q5 Sportback,SUV
Audi,New S5,Coupe
Audi,New SQ5,SUV
Audi,New SQ5 Sportback,SUV
Audi,Q3,SUV
Audi,Q4 Sportback e-tron,SUV
Audi,Q4 e-tron,SUV
Audi,Q5,SUV
Audi,Q5 Sportback,SUV
Audi,Q6 Sportback e-tron,SUV
Audi,Q6 e-tron,SUV
Audi,Q6 e-tron quattro,SUV
Audi,Q7,SUV
Audi,Q8,SUV
Audi,Q8 Sportback e-tron,SUV
Audi,Q8 e-tron,SUV
Audi,R8,Coupe
Audi,RS 3,Sedan
Audi,RS 5 Coupe,Coupe
Audi,RS 5 Sportback,Hatchback
Audi,RS 6 Avant,Wagon
Audi,RS 7,Hatchback
Audi,RS Q8,SUV
Audi,RS e-tron GT,Sedan
Audi,RS e-tron GT Performance,Sedan
Audi,RS6 Avant,Wagon
Audi,S e-tron GT,Sedan
Audi,S3,Sedan
Audi,S4,Sedan
Audi,S5,Coupe
Audi,S5 Cabriolet,Convertible
Audi,S5 Coupe,Coupe
Audi,S5 Sportback,Hatchback
Audi,S6,Sedan
Audi,S6 Sportback e-tron,Hatchback
Audi,S6 e-tron,Sedan
Audi,S7,Hatchback
Audi,S8,Sedan
Audi,SQ5,SUV
Audi,SQ5 Sportback,SUV
Audi,SQ6 Sportback e-tron,SUV
Audi,SQ6 e-tron,SUV
Audi,SQ7,SUV
Audi,SQ8,SUV
Audi,SQ8 Sportback e-tron,SUV
Audi,SQ8 e-tron,SUV
Audi,TTS Coupe,Coupe
Audi,e-tron,SUV
Audi,e-tron GT,Sedan
Audi,e-tron S,SUV
Audi,e-tron S Sportback,SUV
Audi,e-tron Sportback,SUV
BMW,2 Series,Coupe
BMW,3 Series,Sedan
BMW,4 Series,Coupe
BMW,5 Series,Sedan
BMW,6 Series,Coupe
BMW,7 Series,Sedan
BMW,8 Series,Coupe
BMW,M Series,Coupe
BMW,M2 Coupe,Coupe
BMW,M3 Sedan,Sedan
BMW,M4 Convertible,Convertible
BMW,M4 Coupe,Coupe
BMW,M5,Sedan
BMW,M5 Sedan,Sedan
BMW,M8 Convertible,Convertible
BMW,M8 Coupe,Coupe
BMW,M8 Gran Coupe,Sedan
BMW,X1,SUV
BMW,X2,SUV
BMW,X3,SUV
BMW,X3 M,SUV
BMW,X4,SUV
BMW,X4 M,SUV
BMW,X5,SUV
BMW,X5 M,SUV
BMW,X6,SUV
BMW,X6 M,SUV
BMW,X7,SUV
BMW,XM,SUV
BMW,Z3,Convertible
BMW,Z4,Convertible
BMW,i3,Hatchback
BMW,i4,Hatchback
BMW,i5,Sedan
BMW,i7,Sedan
BMW,i8,Coupe
BMW,iX,SUV
Bentley,Bentayga,SUV
Bentley,Continental GT,Coupe
Bentley,Continental GTC,Convertible
Bentley,Flying Spur,Sedan
Buick,Cascada,Convertible
Buick,Enclave,SUV
Buick,Encore,SUV
Buick,Encore GX,SUV
Buick,Envision,SUV
Buick,Envista,SUV
Buick,LaCrosse,Sedan
Buick,LeSabre,Sedan
Buick,Lucerne,Sedan
Buick,Regal,Sedan
Buick,Riviera,Coupe
Buick,Verano,Sedan
Cadillac,ATS,Sedan
Cadillac,ATS Sedan,Sedan
Cadillac,Brougham,Sedan
Cadillac,CT4,Sedan
Cadillac,CT5,Sedan
Cadillac,CT6,Sedan
Cadillac,CTS,Sedan
Cadillac,CTS Sedan,Sedan
Cadillac,CTS Sport Sedan,Sedan
Cadillac,DeVille,Sedan
Cadillac,Eldorado,Coupe
Cadillac,Escalade,SUV
Cadillac,Escalade ESV,SUV
Cadillac,Escalade IQ,SUV
Cadillac,Escalade IQL,SUV
Cadillac,LYRIQ,SUV
Cadillac,OPTIQ,SUV
Cadillac,SRX,SUV
Cadillac,STS,Sedan
Cadillac,VISTIQ,SUV
Cadillac,XT4,SUV
Cadillac,XT5,SUV
Cadillac,XT6,SUV
Cadillac,XTS,Sedan
Chevrolet,Avalanche,Truck
Chevrolet,Aveo,Sedan
Chevrolet,Blazer,SUV
Chevrolet,Blazer EV,SUV
Chevrolet,Bolt,Hatchback
Chevrolet,Bolt EUV,SUV
Chevrolet,Bolt EV,Hatchback
Chevrolet,BrightDrop,Van
Chevrolet,C10,Truck
Chevrolet,C1500,Truck
Chevrolet,C2500,Truck
Chevrolet,C3500,Truck
Chevrolet,C4500,Truck
Chevrolet,Camaro,Coupe
Chevrolet,Caprice/Impala,Sedan
Chevrolet,Captiva Sport,SUV
Chevrolet,Colorado,Truck
Chevrolet,Corvette,Coupe
Chevrolet,Cruze,Sedan
Chevrolet,Cruze Limited,Sedan
Chevrolet,Equinox,SUV
Chevrolet,Equinox EV,SUV
Chevrolet,Express,Van
Chevrolet,Express Cargo,Van
Chevrolet,Express Cutaway,Van
Chevrolet,Express G3500,Van
Chevrolet,Express Passenger,Van
Chevrolet,HHR,Wagon
Chevrolet,Impala,Sedan
Chevrolet,Low Cab Forward,Truck
Chevrolet,Malibu,Sedan
Chevrolet,Malibu Limited,Sedan
Chevrolet,Monte Carlo,Coupe
Chevrolet,S-10,Truck
Chevrolet,SS,Sedan
