canonical_dealer_id,mc_dealer_id,mc_rooftop_id,mc_location_id,mc_website_id,seller_name,dealer_type,source,website_provider,street,city,state,zip,latitude,longitude,seller_phone,seller_email,inventory_type,confirmed_sales,potential_sales,total_sales,active_inventory,top_5_makes,top_5_make_inventory,top_5_models,top_5_model_inventory,unique_makes_count,unique_models_count,last_updated
100000001,1123579,533987,1302513,1009022,cooper chevrolet gmc,franchise,cooperchevrolet.com,Dealer.com,1300 South Quintard Avenue,Anniston,AL,36201,33.631102,-85.826703,256-294-1186,leads@cooperchevrolet.net,new,97,10,107,102,Chevrolet | GMC,74 | 28,Silverado 1500 | Tahoe | Sierra 1500 | Silverado 2500HD | Sierra 2500HD,21 | 17 | 14 | 13 | 7,2,16,2026-01-30
100000002,1123332,1034429,1302514,1009576,glynn smith chevrolet gmc,franchise,glynnsmithchevy.com,DealerOn,600 Columbus Parkway,Opelika,AL,36801,32.644435,-85.361815,866-572-7111,Roberts@GlynnSmith.com,new,154,19,173,155,GMC | Chevrolet,88 | 67,Sierra 1500 | Silverado 1500 | Sierra 2500HD | Yukon | Equinox,35 | 23 | 21 | 18 | 8,2,19,2026-01-30
100000003,1164526,1052569 | 563125,1302642,11014460,town & country ford of pell city | town & country ford pell city,franchise,pellcityford.com,Dealer Inspire,1103 Martin Street North,Pell City,AL,35125,33.601912,-86.283858,205-390-6129 | 659-658-4530,doug.bailey@pellcityford.com,new,55,13,68,159,Ford,159,F-150 | Bronco 4-Door | Explorer | F-250 Super Duty | Escape,33 | 16 | 15 | 15 | 13,1,16,2026-01-30
100000004,1111647,1044486,1302670,1028843,"courtesy buick gmc, inc.",franchise,courtesybirmingham.com,DealerOn,1857 Edwards Lake Road,Birmingham,AL,35235,33.599071,-86.650496,205-718-7565,Dlolley@courtesybirmingham.com,new,41,3,44,42,GMC,42,Sierra 1500 | Canyon | Sierra 2500HD | Yukon | Acadia,26 | 4 | 4 | 4 | 2,1,7,2026-01-30
100000005,1157529,1051772 | 142777,1302697,1009062,town & country ford of bessemer,franchise,alabamaford.com,Dealer Inspire,5041 Ford Parkway,Bessemer,AL,35022,33.3654,-86.997751,659-235-3212,,new,85,13,98,160,Ford,160,F-150 | Bronco 4-Door | Explorer | F-250 Super Duty | Escape,33 | 17 | 15 | 15 | 13,1,16,2026-01-30
100000006,1111237,972857,1302727,11018168,"mitch smith chevrolet, inc.",franchise,mschevy.com,Dealer Inspire,1655 Cherokee Avenue Southwest,Cullman,AL,35055,34.159425,-86.836545,256-507-9952,tim.calvert@mschevy.com,new,63,6,69,71,Chevrolet,71,Silverado 2500HD | Silverado 1500 | Trailblazer | Tahoe | Traverse,21 | 19 | 6 | 5 | 5,1,13,2026-01-30
100000007,1113106,1048980,1303177,1010947,mercedes-benz of north haven,franchise,mbofnorthhaven.com,Dealer Inspire,620 Washington Avenue,North Haven,CT,06473,41.421592,-72.838347,203-239-1313 | 203-465-6526,ssuarez@mercedesbenzofnorthhaven.com,new,13,0,13,15,Mercedes-Benz,15,GLC | GLE | Sprinter Cargo Van | CLA | CLE,6 | 2 | 2 | 1 | 1,1,8,2026-01-30
100000008,1191920,1047980,1303424,1002608,titus-will toyota,franchise,tituswilltoyota.com,DealerOn | Dealer.com,3506 South Sprague Avenue,Tacoma,WA,98409,47.227514,-122.464895,253-475-4155 | 253-319-2395,bnewman@tituswill.com,new,153,17,170,166,Toyota,166,RAV4 | Camry | Grand Highlander | Tacoma | 4Runner,43 | 23 | 20 | 17 | 10,1,20,2026-01-30
100000009,1191189,1044563 | 697031,1303486,1079377,mercedes-benz of san antonio,franchise,mbofsa.com,Dealer Inspire,9600 San Pedro Avenue,San Antonio,TX,78216,29.527492,-98.497324,210-366-9600,rfrier@mbofsa.com,new,68,5,73,69,Mercedes-Benz,69,GLE | GLC | Sprinter Cargo Van | C-Class Sedan | GLE Coupe,14 | 10 | 10 | 5 | 5,1,13,2026-01-30
100000010,1126435,1049260 | 339311,1303537,1010757,mercedes-benz of medford,franchise,mbmedford.com,Dealer.com,3240 Crater Lake Avenue,Medford,OR,97504,42.364427,-122.854907,541-774-1000,sales@mercedesbenzofmedford.edealerhub.com,new,38,3,41,74,Mercedes-Benz,74,Sprinter Cargo Van | GLE | GLC | GLA | GLE Coupe,19 | 15 | 4 | 3 | 3,1,16,2026-01-30
